2018-02-05 22:06:24.163239,0                         ,BTC      ,59183.903    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6300.02,237     ,USD/BTC     ,USD      ,59183.903
1                         ,BTC                       ,2270.309 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6301.54   ,125    ,BTC/USD ,USD         ,2270.309
exch_code                 ,                          ,base_curr,btc_volume_24,display_name,exch_id,exch_name,exchmkt_id,last_price,mkt_id ,mkt_name,primary_curr,volume_24
BITS                      ,2018-02-05 22:06:24.163489,BTC      ,59183.903    ,BTC/USD     ,4      ,Bitstamp ,346       ,6300.02   ,237    ,USD/BTC ,USD         ,59183.903
CBNK                      ,2018-02-05 22:06:24.163489,BTC      ,2270.309     ,BTC/USD     ,58     ,Coinsbank,6739      ,6301.54   ,125    ,BTC/USD ,USD         ,2270.309
2018-02-05 22:06:24.215601,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:06:24.215601,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:07:07.060106,0                         ,BTC      ,59218.494    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6302.07,237     ,USD/BTC     ,USD      ,59218.494
1                         ,BTC                       ,2265.654 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6375.03   ,125    ,BTC/USD ,USD         ,2265.654
exch_code                 ,                          ,base_curr,btc_volume_24,display_name,exch_id,exch_name,exchmkt_id,last_price,mkt_id ,mkt_name,primary_curr,volume_24
BITS                      ,2018-02-05 22:07:07.061251,BTC      ,59218.494    ,BTC/USD     ,4      ,Bitstamp ,346       ,6302.07   ,237    ,USD/BTC ,USD         ,59218.494
CBNK                      ,2018-02-05 22:07:07.061251,BTC      ,2265.654     ,BTC/USD     ,58     ,Coinsbank,6739      ,6375.03   ,125    ,BTC/USD ,USD         ,2265.654
2018-02-05 22:07:07.060072,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:07:07.060072,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:07:49.973213,0                         ,BTC      ,59172.493    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6333.8 ,237     ,USD/BTC     ,USD      ,59172.493
1                         ,BTC                       ,2264.327 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6375.03   ,125    ,BTC/USD ,USD         ,2264.327
2018-02-05 22:07:49.973021,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:07:49.973021,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:08:34.626982,0                         ,BTC      ,59172.493    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6308.21,237     ,USD/BTC     ,USD      ,59172.493
1                         ,BTC                       ,2264.327 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6375.03   ,125    ,BTC/USD ,USD         ,2264.327
2018-02-05 22:08:34.626091,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:08:34.626091,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:09:17.772841,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:09:17.772841,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:09:17.852097,0                         ,BTC      ,59242.096    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6289.1 ,237     ,USD/BTC     ,USD      ,59242.096
1                         ,BTC                       ,2260.917 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6375.03   ,125    ,BTC/USD ,USD         ,2260.917
2018-02-05 22:10:03.505026,0                         ,BTC      ,59261.844    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6286.37,237     ,USD/BTC     ,USD      ,59261.844
1                         ,BTC                       ,2260.218 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6375.03   ,125    ,BTC/USD ,USD         ,2260.218
2018-02-05 22:10:03.505115,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:10:03.505115,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
